,e.ap.1,e.ap.2,e.b.1,e.b.2,e.p.ap.1,e.p.ap.2,e.p.b.1,e.p.b.1.rep,e.p.b.2,e.p.b.2.rep,e.p.pr.l.1,e.p.pr.l.2,e.pr.l.1,e.pr.l.2,pname,gene
Q922Q1;Q9CW42,69580645.34,77291938.19,68250415.72,39441074.16,172687026.5,149453727.7,79680675.36,106153518.3,63926303.67,53948776.55,3723791.37,1270314.526,11297813.59,8463745.118,"MOSC domain-containing protein 2, mitochondrial",Marc2
Q3KNM2,1,2291144.647,14102101.57,47761179.77,22092689.42,8151348.254,33243521.97,85342585.95,80421677.27,37599542.87,28064352.03,31222970.22,14503775.46,18061064.16,E3 ubiquitin-protein ligase MARCH5,March5
P42208,136370000,339210000,232540000,264370000,314030000,301260000,296860000,263080000,260110000,184340000,249590000,274020000,263890000,276780000,Septin-2,Sept2
Q9Z2Q6,879015.0067,1,2531084.846,1,1,1,6644455.444,6476537.922,1,1,1,863666.1142,1,1,Septin-5,Sept5
O55131;Q9DA97,203720000,183160000,197340000,186220000,172150000,155550000,223800000,190190000,154460000,146760000,148510000,1.56E+08,150740000,178280000,Septin-7,Sept7
Q8CHH9,14231088.65,7114048.36,10845931.12,8125097.428,19967945.25,18075363.78,26853359.7,34215566.2,9925045.519,26090232.73,17783805.75,8977115.619,12190895.87,5881183.869,Septin-8,Sept8
Q80UG5,246510000,133480000,79473000,87830000,124430000,150200000,100300000,86203000,84994000,107600000,98110000,77460000,78364000,89244000,Septin-9,Sept9
Q8C1B7,208050000,101500000,91971000,94470000,98217000,95218000,92479000,87745000,82098000,116530000,104690000,75371000,90854000,82067000,Septin-11,Sept11
Q9ERR7,20962000,40719000,44276000,34860000,36200000,35333000,56386000,71510000,52943000,38231000,47295000,43604000,50546000,56160000,15 kDa selenoprotein,Sep15
Q61838,1,2803402.945,2141737.569,8792775.252,1,1,1920138.825,2150603.249,3824090.691,1411400.182,1,1,1,1,Alpha-2-macroglobulin;Alpha-2-macroglobulin 165 kDa subunit;Alpha-2-macroglobulin 35 kDa subunit,A2m
Q6GQT1,53238000,250460000,291340000,656700000,87093000,174230000,99912000,72785000,250880000,188270000,127730000,194950000,208900000,224550000,Alpha-2-macroglobulin-P,A2mp
P58742,3332733.776,2828716.453,4689090.711,7814934.603,32714910.29,23242986.13,19991306.55,15016873.38,25424683.7,11292730.25,11809855.31,11657321.02,20637200.49,11662091.8,Aladin,Aaas
Q9D2R0,12180555.81,4238243.338,2905910.757,760897.0906,7044055.685,7743616.267,2418489.077,2877817.254,1,2834967.058,9743429.487,8290216.264,10938396.37,11515324.29,Acetoacetyl-CoA synthetase,Aacs
Q3UHJ0,2525326.172,10180112.97,8073442.233,8661795.975,8240977.403,232604.7212,5435564.985,11214156.96,8964311.164,3642300.447,6438359.952,7276340.836,10188286.68,15481237.7,AP2-associated protein kinase 1,Aak1
Q8BGQ7,83803000,45603000,109240000,102860000,118960000,104170000,134020000,150650000,91017000,90052000,97673000,124390000,138590000,137680000,"Alanine--tRNA ligase, cytoplasmic",Aars
Q14CH7,1,1,1,510320.0987,1,242304.2989,1,884791.8425,586447.3274,587836.0409,1,470106.7297,1,1,"Alanine--tRNA ligase, mitochondrial",Aars2
Q3THG9,7650128.194,1,3095671.151,3327068.42,21189691.9,19037092.86,10728597.03,11854565.26,14013439.12,9797692.015,16879877.5,18567248.98,12761793.39,16674977.19,Alanyl-tRNA editing protein Aarsd1,Aarsd1
Q9JKX4,2417750.29,6084768.469,5140563.226,1535232.947,27317925.09,16314422.4,11093620.41,17343378.56,7695298.201,4261591.532,3973845.435,13875766.32,2727946.896,753756.0074,Protein AATF,Aatf
P61922,1,1,36539248.32,41015016.59,1,1,56475618.05,66878259.14,50073959.19,77166140.74,1,1,1,1,"4-aminobutyrate aminotransferase, mitochondrial",Abat
Q9JI39,1557708.185,1013751.551,1,1,4221663.424,5882079.059,1,1,1,1,2127015.22,3010426.277,1235620.794,802389.8382,"ATP-binding cassette sub-family B member 10, mitochondrial",Abcb10
Q61102,654612.1879,972528.6397,1,1,10732470.57,4279848.697,1147345.072,3163897.457,2436074.108,672544.2578,3493879.186,5591041.257,13584382.24,7375295.371,"ATP-binding cassette sub-family B member 7, mitochondrial",Abcb7
B2RX12,1,1,1,640313.3801,1,1,1,1,1,1,563661.4897,773211.0539,6069881.657,6218931.466,Canalicular multispecific organic anion transporter 2,Abcc3
P48410,1,1,1,1,1001547.254,1054096.216,1,1,1,1,1,1,986014.4719,6583571.247,ATP-binding cassette sub-family D member 1,Abcd1
P55096,28162000,54689000,57025000,52030000,151130000,107670000,88219000,95707000,76763000,62913000,18754000,28162000,82502000,62860000,ATP-binding cassette sub-family D member 3,Abcd3
P61222,56580000,83356000,100290000,65718000,123320000,128890000,119080000,127070000,85034000,94350000,122950000,143580000,124710000,107120000,ATP-binding cassette sub-family E member 1,Abce1
Q6P542,132630000,65992000,56211000,64801000,92650000,92850000,80097000,94430000,85967000,76555000,97459000,91765000,85057000,66554000,ATP-binding cassette sub-family F member 1,Abcf1
Q99LE6,1073028.227,10068651.88,5728623.919,6966612.497,33251908.82,28017688.16,19363620.86,13360693.39,17461044,17846819.92,26936079.27,23079019.59,27419462.96,26862556.87,ATP-binding cassette sub-family F member 2,Abcf2
Q8K268,6458790.036,3786002.551,1205382.482,2033465.46,6047233.418,4685009.215,1764215.26,3084337.244,4293015.213,1978011.394,5510359.702,3678905.147,4882563.758,6586761.845,ATP-binding cassette sub-family F member 3,Abcf3
Q7TMS5,12987492.63,7697483.887,1,1,6474732.246,13136087.79,2764263.423,1563718.127,1,2097002.933,1,1,1,5888476.664,ATP-binding cassette sub-family G member 2,Abcg2
Q6PE15,2008938.4,1,989942.2,3124513.106,1292246.457,1,3595254.905,4899824.648,6707191.218,2939753.504,2164351.387,1032495.592,643674.5364,1,"Mycophenolic acid acyl-glucuronide esterase, mitochondrial",Abhd10
Q8K4F5,17017000,58227000,17411000,13869000,91258000,74072000,15448000,22374000,22100000,10306000,28800000,33259000,27765000,29056000,Alpha/beta hydrolase domain-containing protein 11,Abhd11
Q99LR1,12082000,14920000,14072000,17011000,44246000,31504000,22165000,30902000,19452000,14545000,85648000,84523000,76816000,83540000,Monoacylglycerol lipase ABHD12,Abhd12
Q8VCR7,246440000,367520000,33678000,39619000,144480000,149020000,27382000,28064000,31641000,19613000,129920000,93924000,78555000,109590000,Alpha/beta hydrolase domain-containing protein 14B,Abhd14b
Q9Z1Q2,11769319.35,13571306.46,13449186.06,5827847.493,18534699.18,15481266.73,6553682.436,12408495.07,16830127.37,7963132.948,7439722.495,1,11861264.61,15195907.08,Abhydrolase domain-containing protein 16A,Abhd16a
Q8VD66,1,1,4956152.808,5124381.651,1,1,12826032.93,13867878.06,10521858.55,10748095.53,2478597.457,6995790.373,5872301.474,8928660.839,Abhydrolase domain-containing protein 4,Abhd4
Q9DBL9,1255271.658,4329562.498,1,1,5741534.257,2653240.816,1,1,1,1,8631368.485,6878478.347,14846810.4,39848291.07,1-acylglycerol-3-phosphate O-acyltransferase ABHD5,Abhd5
Q8R2Y0,1,1,1,5559315.628,5231385.655,1,8127725.025,8483773.853,9842927.636,7014640.431,6145402.047,1624696.685,560522.0724,5913545.649,Monoacylglycerol lipase ABHD6,Abhd6
Q8CBW3,63102000,22003000,20565000,22497000,29866000,25494000,18743000,24915000,26007000,34291000,24234000,17875000,24517000,23597000,Abl interactor 1,Abi1
P62484,1,1,2289462.433,1069599.18,1,1,4710925.992,3743443.593,723041.2263,6457265.715,1,2287534.594,2289795.464,1,Abl interactor 2,Abi2
Q8K4G5,293467.9473,939444.1571,676815.7127,810245.6029,341924.0624,1,1976533.97,1542963.289,2480184.424,2345305.407,37331254.12,18568746.58,5766561.326,8336121.195,Actin-binding LIM protein 1,Ablim1
